t (s),V (mV)
0,41.1015
0.974,40.7438
1.909,40.3962
2.851,40.0548
3.823,39.7063
4.812,39.3519
5.811,38.9987
6.812,38.6486
7.812,38.3019
8.812,37.9582
9.812,37.6223
10.812,37.2886
11.812,36.9608
12.812,36.6302
13.812,36.3069
14.811,35.9891
15.812,35.6775
16.812,35.3694
17.812,35.0629
18.812,34.7591
19.811,34.4595
20.812,34.161
21.812,33.866
22.812,33.5752
23.812,33.2877
24.812,33.0028
25.812,32.7212
26.812,32.4421
27.812,32.1672
28.812,31.8949
29.812,31.6242
30.812,31.3574
31.811,31.0933
32.812,30.83
33.812,30.5725
34.812,30.3156
35.812,30.0633
36.812,29.8123
37.812,29.5642
38.812,29.3187
39.812,29.0747
40.811,28.8337
41.812,28.5954
42.811,28.36
43.812,28.126
44.812,27.8946
45.812,27.6655
46.812,27.436
47.811,27.2157
48.812,26.9934
49.812,26.7727
50.812,26.5554
51.811,26.3394
52.812,26.1264
53.811,25.915
54.812,25.7054
55.812,25.4987
56.811,25.2921
57.812,25.0892
58.812,24.888
59.811,24.6887
60.811,24.4914
61.812,24.2951
62.812,24.1026
63.811,23.91
64.812,23.7197
65.812,23.5314
66.812,23.3449
67.812,23.1599
68.812,22.9771
69.811,22.7962
70.812,22.6163
71.812,22.4387
72.812,22.2621
73.812,22.0873
74.811,21.9134
75.812,21.7414
76.812,21.5716
77.811,21.4043
78.812,21.237
