t (s),V (mV)
0,17.2843
0.974,17.2656
1.909,17.2408
2.906,17.2119
3.906,17.1885
4.906,17.1622
5.905,17.1353
6.906,17.1095
7.906,17.0809
8.906,17.0547
9.906,17.0271
10.905,16.9993
11.906,16.9727
12.905,16.9454
13.906,16.9181
14.905,16.8899
15.906,16.8626
16.906,16.8347
17.906,16.8076
18.906,16.7801
19.906,16.753
20.906,16.7253
21.906,16.6965
22.905,16.6694
23.906,16.6415
24.906,16.6142
25.906,16.5867
26.906,16.5595
27.906,16.5308
28.906,16.5038
29.906,16.4767
30.906,16.449
31.906,16.4216
32.906,16.3941
33.906,16.3659
34.906,16.3386
35.905,16.3107
36.905,16.2837
37.906,16.2555
38.905,16.2283
39.906,16.2008
40.906,16.173
41.906,16.1468
42.905,16.1194
43.906,16.0926
44.906,16.0641
45.905,16.0382
46.906,16.011
47.906,15.9842
48.906,15.9565
49.905,15.9308
50.906,15.9031
51.906,15.8768
52.906,15.8489
53.906,15.8227
54.906,15.7957
55.906,15.7697
56.906,15.7427
57.906,15.7161
58.906,15.6903
59.906,15.6631
60.906,15.6376
61.906,15.6122
62.905,15.5856
63.906,15.5603
64.906,15.5346
65.905,15.5126
66.906,15.4834
67.906,15.458
68.906,15.4304
69.906,15.4044
70.906,15.376
71.905,15.3524
72.906,15.3271
73.906,15.3009
74.906,15.2758
75.906,15.2498
76.906,15.2237
77.906,15.1978
78.906,15.1725
79.906,15.1475
80.906,15.1227
81.906,15.0971
82.906,15.0714
83.906,15.0463
84.906,15.0217
85.906,14.9955
86.905,14.9692
87.906,14.9445
88.905,14.9188
89.906,14.8943
90.906,14.8693
91.905,14.844
92.906,14.8191
93.906,14.7949
94.906,14.7697
95.905,14.7457
96.906,14.7205
97.906,14.6965
98.905,14.6725
99.906,14.6487
100.906,14.6238
101.906,14.599
102.906,14.576
103.906,14.5516
104.905,14.528
105.906,14.5035
106.906,14.4795
107.906,14.4549
108.905,14.4308
109.906,14.4067
110.906,14.3829
111.906,14.3589
112.906,14.3343
113.905,14.3102
114.906,14.2864
115.905,14.2626
116.906,14.2392
117.906,14.2148
118.906,14.1906
119.906,14.1683
120.905,14.144
121.906,14.1194
122.905,14.095
123.906,14.0719
124.906,14.0473
125.906,14.025
126.906,14.0015
127.906,13.9771
128.906,13.9541
129.906,13.93
130.906,13.9073
131.906,13.8835
132.906,13.8603
133.906,13.838
134.906,13.8147
135.906,13.7836
136.906,13.7682
137.906,13.7439
138.906,13.7226
139.905,13.6994
140.906,13.6759
141.906,13.6532
142.906,13.6305
143.906,13.6082
144.906,13.5855
145.906,13.565
146.905,13.5434
147.906,13.5188
148.906,13.4946
149.906,13.4722
150.906,13.4512
151.906,13.4283
152.906,13.4045
153.906,13.383
154.906,13.3587
155.906,13.3412
156.906,13.3215
157.905,13.3
158.906,13.277
159.906,13.2564
160.906,13.2345
161.906,13.2135
162.906,13.192
163.906,13.1705
164.905,13.1494
165.906,13.127
166.906,13.105
167.905,13.0811
168.906,13.0592
169.906,13.0382
170.905,13.0174
171.906,12.9962
172.906,12.9746
173.906,12.9538
174.906,12.9333
175.906,12.9123
176.906,12.891
177.906,12.8699
178.906,12.8493
179.906,12.8287
180.906,12.8074
181.906,12.7867
182.906,12.7665
183.906,12.7452
184.905,12.7254
185.906,12.7039
186.906,12.6833
187.906,12.6629
188.905,12.6428
189.906,12.6221
190.906,12.6008
191.905,12.5816
192.906,12.5609
193.906,12.54
194.906,12.5183
195.906,12.4981
196.906,12.4784
197.906,12.4575
198.906,12.4369
199.905,12.4177
200.906,12.3968
201.906,12.3772
202.906,12.3579
203.906,12.3391
204.906,12.3183
205.906,12.2987
206.906,12.2782
207.906,12.2581
208.905,12.2388
209.906,12.219
210.905,12.1996
211.906,12.1793
212.905,12.1593
213.906,12.1395
214.906,12.1227
215.906,12.1033
216.906,12.0834
217.905,12.0649
218.906,12.0455
219.906,12.0271
220.906,12.0063
221.906,11.9877
222.906,11.9676
223.906,11.948
224.906,11.9299
225.906,11.9111
226.906,11.8915
227.906,11.8722
228.906,11.8545
229.906,11.8352
230.906,11.8158
231.906,11.7979
232.906,11.7782
233.906,11.7597
234.906,11.7411
235.906,11.7221
236.906,11.7046
237.906,11.6862
238.906,11.6673
239.906,11.6496
240.906,11.6242
241.905,11.6109
242.906,11.5928
243.906,11.5741
244.905,11.5559
245.906,11.5383
246.906,11.5202
247.906,11.5019
248.906,11.484
249.906,11.4638
250.905,11.4495
251.906,11.4314
252.905,11.414
253.906,11.3969
254.906,11.379
255.906,11.3603
256.905,11.3421
257.906,11.3238
258.906,11.3059
259.906,11.2878
260.906,11.27
261.906,11.2516
262.906,11.2336
263.906,11.2162
264.906,11.1981
265.905,11.1802
266.906,11.161
267.906,11.143
268.906,11.1248
269.906,11.1071
270.905,11.0899
271.906,11.072
272.906,11.055
273.906,11.037
