t (s),V (mV)
0,22.2345
0.974,22.1363
1.973,22.0349
2.974,21.9319
3.973,21.8292
4.974,21.7263
5.973,21.6218
6.974,21.5178
7.974,21.4143
8.974,21.3117
9.974,21.2086
10.974,21.1059
11.974,21.0032
12.974,20.9004
13.974,20.7991
14.974,20.7017
15.974,20.5998
16.973,20.4996
17.974,20.3996
18.974,20.2997
19.974,20.2023
20.974,20.1044
21.974,20.0072
22.974,19.9105
23.974,19.8144
24.974,19.7185
25.973,19.6234
26.974,19.5278
27.974,19.4343
28.974,19.3408
29.974,19.2478
30.974,19.1551
31.974,19.0626
32.974,18.9713
33.974,18.8801
34.974,18.7897
35.974,18.6994
36.974,18.6095
37.974,18.52
38.974,18.4318
39.974,18.3436
40.973,18.2556
41.974,18.1686
42.974,18.081
43.974,17.9949
44.974,17.9094
45.973,17.8231
46.974,17.7387
47.974,17.6545
48.974,17.5696
49.974,17.4859
50.974,17.4026
51.974,17.3196
52.974,17.2373
53.974,17.1552
54.973,17.073
55.974,16.9916
56.974,16.9115
57.974,16.8306
58.974,16.7517
59.973,16.6713
60.974,16.5921
61.973,16.5136
62.974,16.4353
63.973,16.3577
64.974,16.2807
65.974,16.2038
66.974,16.1282
67.973,16.0511
68.974,15.975
69.974,15.9006
70.974,15.8249
71.974,15.75
72.973,15.6763
73.974,15.603
74.974,15.5298
75.974,15.4579
76.974,15.3853
77.974,15.3133
78.974,15.2405
79.973,15.1719
80.974,15.1003
81.974,15.0311
82.974,14.9609
83.974,14.8918
84.973,14.8234
85.974,14.7542
86.973,14.6862
87.974,14.6184
88.974,14.5503
89.974,14.4829
90.974,14.4182
91.974,14.3507
92.974,14.2843
93.974,14.2191
94.974,14.1526
95.974,14.086
96.974,14.0205
97.974,13.956
98.973,13.8916
99.974,13.827
100.974,13.7625
101.974,13.6993
102.974,13.6358
103.974,13.5735
104.974,13.5111
105.974,13.4491
106.974,13.3872
107.974,13.3253
108.974,13.2641
109.974,13.202
110.974,13.1414
111.973,13.0803
112.974,13.0197
113.974,12.9597
114.974,12.9001
115.974,12.8418
116.974,12.7814
117.974,12.7242
118.974,12.6649
119.974,12.6055
120.974,12.5472
121.974,12.4905
122.974,12.4334
123.974,12.3764
124.973,12.3195
125.974,12.2638
126.974,12.2084
127.974,12.1527
128.974,12.0974
129.973,12.043
130.974,11.9879
131.974,11.9329
132.974,11.8786
133.974,11.8239
134.974,11.7707
135.974,11.7165
136.974,11.6639
137.974,11.6102
138.974,11.559
139.974,11.505
